,hotel_id,hotel_amenities,image_available_for_category
7572,99578,Parking Facility,
7573,95534,Parking Facility,
7574,76538,Parking Facility,
7575,78158,Parking Facility|Garden/Backyard,
7576,101381,Parking Facility|Conference Room|In-house Restaurant|Dining Area,Boardroom|Restaurant
7577,96445,Parking Facility,
7578,99876,Parking Facility|Conference Room|In-house Restaurant,Restaurant
7579,59314,Parking Facility,
7580,41218,Parking Facility,
7581,13008,Parking Facility|In-house Restaurant,Restaurant
7582,12966,Parking Facility,
7583,82807,Parking Facility|Conference Room|In-house Restaurant,Restaurant
7584,83831,Parking Facility,
7585,87130,Bar|Parking Facility|In-house Restaurant|Board Games|Garden/Backyard,Parking|Restaurant
7586,97162,Parking Facility,
7587,4436,Parking Facility|Conference Room,
7588,46196,Parking Facility,
7589,49729,Parking Facility|In-house Restaurant,
7590,44385,Parking Facility|Conference Room|In-house Restaurant|Dining Area,
7591,54583,Parking Facility,
7592,17019,Parking Facility,
7593,85383,Parking Facility,
7594,49031,Parking Facility,
7595,9220,Parking Facility|In-house Restaurant,Restaurant
7596,10528,Parking Facility|In-house Restaurant,
7597,10258,Parking Facility|In-house Restaurant,Restaurant
7598,3544,Parking Facility,
7599,43308,Parking Facility,
7600,51706,Parking Facility,
7601,74139,Parking Facility,
7602,7023,Parking Facility,
7603,101927,Parking Facility,
7604,90457,Parking Facility,
7605,98189,Bar,Restaurant
7606,99421,Parking Facility,
7607,51284,Parking Facility,
7608,46295,Parking Facility,
7609,54502,Parking Facility,
7610,85639,Parking Facility,
7611,87771,Parking Facility,
7612,52727,Parking Facility|Dining Area,
7613,4582,Parking Facility,
7614,48874,Parking Facility,
7615,46756,Parking Facility|In-house Restaurant|Dining Area,
7616,16417,Parking Facility,
7617,102703,Parking Facility,
7618,102076,Parking Facility|Swimming Pool|In-house Restaurant|Garden/Backyard,Parking|Restaurant|Lawn|Pool
7619,49304,Parking Facility,
7620,62613,Parking Facility|Dining Area|In-house Restaurant,Restaurant
7621,46638,Parking Facility|Dining Area,
7622,77095,Parking Facility,
7623,93748,Parking Facility,
7624,86998,Parking Facility,
7625,85634,Parking Facility,
7626,50516,Parking Facility|Bar|Conference Room|In-house Restaurant|Dining Area,Restaurant
7627,11602,Parking Facility,
7628,56791,Parking Facility,
7629,15531,Conference Room,
7630,6860,Conference Room|Bar|Parking Facility|Dining Area|In-house Restaurant,Restaurant|Boardroom
7631,94507,Parking Facility,
7632,95081,Parking Facility,
7633,46618,Parking Facility,
7634,89411,Parking Facility,
7635,104641,Parking Facility,
7636,13568,Parking Facility,
7637,84742,Parking Facility,
7638,2948,Parking Facility,
7639,90567,Parking Facility,
7640,44216,In-house Restaurant|Dining Area,Restaurant
7641,51847,Dining Area|In-house Restaurant,Dining
