,hotel_id,mrc_images_score,actual_room_categories,images_available_for_categories
28511,101263,10.0,Triple Room (1 Double bed + 1 Single bed)|Double Room|Quadruple Room (1 Double bed + 2 Single beds),Triple Room (1 Double bed + 1 Single bed)|Double Room|Quadruple Room (1 Double bed + 2 Single beds)
28512,42740,0.0,Classic (2X),
28513,11253,0.0,Classic (2X),
28514,1508,0.0,Classic (2X),
28515,94220,10.0,Indonesia Standard Twin|Delux Family|Indonesia Deluxe Double,Indonesia Standard Twin|Delux Family|Indonesia Deluxe Double
28516,19739,0.0,Classic (2X)|Classic (2X),
28517,55784,5.0,Classic (2X)|Deluxe (3X)|Deluxe (3X),Deluxe (3X)|Deluxe (3X)
28518,84343,8.571428571428571,Suite Family|Deluxe Queen|Premium Suite room|Deluxe Twin|Suite Triple|Classic (2X)|Superior Family Suite,Suite Family|Deluxe Queen|Premium Suite room|Deluxe Twin|Suite Triple|Superior Family Suite
28519,15278,0.0,Classic (2X),
28520,96296,10.0,Deluxe double|Deluxe Two beds|Superior|Deluxe With View|Deluxe Two beds With View,Deluxe double|Deluxe Two beds|Superior|Deluxe With View|Deluxe Two beds With View
28521,51000,10.0,Indonesia Standard Twin|Indonesia Suite Family|Indonesia Standard Double,Indonesia Standard Twin|Indonesia Suite Family|Indonesia Standard Double
28522,94800,5.0,Suite Family|Deluxe Queen|Standard Queen|Suite Triple|Deluxe Twin|Classic (2X),Suite Family|Deluxe Queen|Standard Queen|
28523,73292,5.0,Classic (2X)|Standard Double Sri Lanka|Standard Double Sri Lanka,Standard Double Sri Lanka|Standard Double Sri Lanka
28524,98886,10.0,Standard Suite|Standard Two Beds|Deluxe double|Superior|Master Suite Ocean View,Standard Suite|Standard Two Beds|Deluxe double|Superior|Master Suite Ocean View
28525,74631,10.0,Classic (2X)|Suite (4X)|Deluxe (3X),Classic (2X)|Suite (4X)|Deluxe (3X)
28526,58923,10.0,Standard Twin|Standard Single - Malaysia|Standard Queen|Premium Suite room|Suite Triple,Standard Twin|Standard Single - Malaysia|Standard Queen|Premium Suite room|Suite Triple
28527,44745,6.666666666666666,Classic (2X)|Suite (4X)|Deluxe (3X)|Deluxe (3X),Suite (4X)|Deluxe (3X)|Deluxe (3X)
28528,84500,5.0,Premium 2 Queen Bed|Premium 2 Queen Bed Smoking|2 Queen Bed|Queen Bed Smoking|King Bed with Pull Out|2 Queen Bed Smoking|3 Queen Bed|Queen Bed|Queen Bed|King Bed Smoking|King Bed Smoking|King Bed|King Bed,Premium 2 Queen Bed|Premium 2 Queen Bed Smoking|Queen Bed|Queen Bed|King Bed Smoking|King Bed Smoking|King Bed|King Bed
28529,6267,10.0,Saver Double (X)|Classic (2X)|Classic (2X),Saver Double (X)|Classic (2X)|Classic (2X)
28530,4481,5.0,Deluxe (3X)|Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28531,47285,0.0,Classic (2X),
28532,103946,7.5,Classic (2X)|Premiere Deluxe Double|Deluxe Double|Thailand Family Suite,Premiere Deluxe Double|Deluxe Double|Thailand Family Suite
28533,10165,0.0,Classic (2X)|Classic (2X),
28534,103364,0.0,Deluxe (3X),
28535,102295,0.0,SPOT ON NON-AC|SPOT ON NON-AC,
28536,92904,8.333333333333334,Standard Single Room|Standard Twin Room|Classic (2X)|Standard Double Room|Standard Quad Room|Deluxe Triple Room with View,Standard Single Room|Standard Twin Room|Standard Double Room|Standard Quad Room|Deluxe Triple Room with View
28537,55798,10.0,Triple Room (1 Double bed + 1 Single bed)|Individual Room|Double Room|Double Room|Quadruple Room (1 Double bed + 2 Single beds)|Triple Room (3 Single beds)|Quintuple Room (1 Double bed + 3 Single bed),Triple Room (1 Double bed + 1 Single bed)|Individual Room|Double Room|Double Room|Quadruple Room (1 Double bed + 2 Single beds)|Triple Room (3 Single beds)|Quintuple Room (1 Double bed + 3 Single bed)
28538,80017,10.0,Indonesia Standard Twin|Indonesia Standard Single|Indonesia Deluxe Double|Indonesia Standard Double,Indonesia Standard Twin|Indonesia Standard Single|Indonesia Deluxe Double|Indonesia Standard Double
28539,84953,0.0,Deluxe (3X),
28540,78515,10.0,Saver Double (X)|Classic (2X),Saver Double (X)|Classic (2X)
28541,99952,0.0,Classic (2X)|Classic (2X),
28542,92873,8.0,Triple Room (1 Double bed + 1 Single bed)|Classic (2X)|Quadruple Room (1 Double bed + 2 Single beds)|Quintuple Room (1 Double bed + 3 Single bed)|Double Room,Triple Room (1 Double bed + 1 Single bed)|Quadruple Room (1 Double bed + 2 Single beds)|Quintuple Room (1 Double bed + 3 Single bed)|Double Room
28543,89141,8.333333333333334,Superior Triple|Deluxe Family Vietnam|Vietnam Standard Double|Classic (2X)|Saver double|Vietnam Superior Double,Superior Triple|Deluxe Family Vietnam|Vietnam Standard Double|Saver double|Vietnam Superior Double
28544,57863,6.666666666666666,Classic (2X)|2 Full Bed|2 Full Bed|King Bed|King Bed,2 Full Bed|2 Full Bed|King Bed|King Bed
28545,83752,7.5,Classic (2X)|Indonesia Deluxe Double|Indonesia Suite Family|Indonesia Standard Double,Indonesia Deluxe Double|Indonesia Suite Family|Indonesia Standard Double
28546,91214,0.0,Classic (2X),
28547,53697,0.0,Classic (2X),
28548,84503,0.0,Classic (2X),
28549,10764,0.0,Classic (2X)|Classic (2X),
28550,42633,0.0,Classic (2X),
28551,47839,6.666666666666666,NON AC Saver|Deluxe (3X)|Classic (2X)|Classic (2X),Deluxe (3X)|Classic (2X)|Classic (2X)
28552,56850,0.0,Classic (2X),
28553,76459,10.0,Saver Double (X)|Classic (2X)|Classic (2X),Saver Double (X)|Classic (2X)|Classic (2X)
28554,57888,10.0,Deluxe King|Deluxe Twin|Standard Twin|Premium King|Standard Queen|Suite Double|Deluxe Queen|Superior,Deluxe King|Deluxe Twin|Standard Twin|Premium King|Standard Queen|Suite Double|Deluxe Queen|Superior
28555,90966,10.0,Japanese Room with Shared Washroom - Twin (Non-Smoking)|Japanese Room with Shared Washroom - Family  (Non-Smoking)|Western Room with Shared Washroom - Twin (Non-Smoking),Japanese Room with Shared Washroom - Twin (Non-Smoking)|Japanese Room with Shared Washroom - Family  (Non-Smoking)|Western Room with Shared Washroom - Twin (Non-Smoking)
28556,88539,10.0,Saver Double (X)|Deluxe (3X)|Classic (2X),Saver Double (X)|Deluxe (3X)|Classic (2X)
28557,95570,10.0,Suite Double|Malaysia Deluxe Triple|Deluxe Twin|Suite Triple,Suite Double|Malaysia Deluxe Triple|Deluxe Twin|Suite Triple
28558,101561,10.0,Deluxe Double|Thailand Family Suite|Superior Double|Superior Twin,Deluxe Double|Thailand Family Suite|Superior Double|Superior Twin
28559,48632,10.0,Indonesia Standard Single|Indonesia Suite Double|Indonesia Suite Triple|Indonesia Standard Double|Indonesia Deluxe Double|Suite Twin Indonesia,Indonesia Standard Single|Indonesia Suite Double|Indonesia Suite Triple|Indonesia Standard Double|Indonesia Deluxe Double|Suite Twin Indonesia
28560,81077,10.0,Suite (4X)|Classic (2X)|Classic (2X),Suite (4X)|Classic (2X)|Classic (2X)
28561,79404,10.0,SPOT ON SAVER|SPOT ON|SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON NON-AC SAVER|SPOT ON NON-AC SAVER,SPOT ON SAVER|SPOT ON|SPOT ON NON-AC|SPOT ON NON-AC|SPOT ON NON-AC SAVER|SPOT ON NON-AC SAVER
28562,103223,10.0,Full Bed|King Bed|King Bed Smoking|Full Bed Smoking|2 Full Bed|2 Full Bed Smoking,Full Bed|King Bed|King Bed Smoking|Full Bed Smoking|2 Full Bed|2 Full Bed Smoking
28563,40965,10.0,Saver Double (X)|Classic (2X)|Deluxe (3X),Saver Double (X)|Classic (2X)|Deluxe (3X)
28564,5105,0.0,Classic (2X)|Classic (2X),
28565,97947,3.333333333333333,Deluxe Single|Deluxe Double|Deluxe Twin,Deluxe Twin
28566,77345,10.0,Saver Double (X)|Classic (2X)|Classic (2X)|Suite (4X),Saver Double (X)|Classic (2X)|Classic (2X)|Suite (4X)
28567,15838,5.0,Deluxe (3X)|Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28568,90364,10.0,Philippines Superior Double|Philippines Superior Twin,Philippines Superior Double|Philippines Superior Twin
28569,56538,0.0,Classic (2X),
28570,89290,10.0,Standard Two Beds|2 Bedroom Apartment|1 Bedroom Apartment|Family Room,Standard Two Beds|2 Bedroom Apartment|1 Bedroom Apartment|Family Room
28571,97989,10.0,Indonesia Deluxe Double|Indonesia Standard Double|Indonesia Suite Double,Indonesia Deluxe Double|Indonesia Standard Double|Indonesia Suite Double
28572,81682,10.0,Quadruple Room (1 Double bed + 2 Single beds)|Individual Room|Twin Room|Quadruple Room (4 Single Beds)|Double Room,Quadruple Room (1 Double bed + 2 Single beds)|Individual Room|Twin Room|Quadruple Room (4 Single Beds)|Double Room
28573,82253,10.0,Classic (2X),Classic (2X)
28574,93298,10.0,King Bed|2 Queen Bed,King Bed|2 Queen Bed
28575,13894,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28576,36805,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28577,38622,10.0,Classic (2X),Classic (2X)
28578,76420,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28579,36372,10.0,Classic (2X)|Classic (2X)|Deluxe (3X),Classic (2X)|Classic (2X)|Deluxe (3X)
28580,57120,10.0,Classic (2X),Classic (2X)
28581,36656,10.0,Classic (2X)|Deluxe (3X),Classic (2X)|Deluxe (3X)
28582,58034,10.0,Classic (2X)|Classic (2X)|Suite (4X),Classic (2X)|Classic (2X)|Suite (4X)
28583,81626,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28584,79550,10.0,SPOT ON NON-AC SAVER|SPOT ON NON-AC|SPOT ON NON-AC,SPOT ON NON-AC SAVER|SPOT ON NON-AC|SPOT ON NON-AC
28585,41896,10.0,Classic (2X)|Suite (4X),Classic (2X)|Suite (4X)
28586,87653,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28587,49948,5.0,Classic (2X)|Classic (2X)|Saver Single (X),Classic (2X)|Classic (2X)|
28588,37269,10.0,Classic (2X)|Classic (2X),Classic (2X)|Classic (2X)
28589,73284,8.571428571428571,Indonesia Suite Double|Indonesia Deluxe Twin|Classic (2X)|Indonesia Suite Family|Indonesia Deluxe Double|Indonesia Standard Double|Indonesia Suite Triple,Indonesia Suite Double|Indonesia Deluxe Twin|Indonesia Suite Family|Indonesia Deluxe Double|Indonesia Standard Double|Indonesia Suite Triple
28590,90668,10.0,Classic (2X)|Classic (2X)|Deluxe (3X)|Deluxe (3X),Classic (2X)|Classic (2X)|Deluxe (3X)|Deluxe (3X)
28591,58965,10.0,Classic (2X)|Deluxe (3X),Classic (2X)|Deluxe (3X)
28592,40951,10.0,Classic (2X),Classic (2X)
28593,48165,10.0,Classic (2X)|Saver Double (X)|Deluxe (3X),Classic (2X)|Saver Double (X)|Deluxe (3X)
28594,48629,10.0,Classic (2X),Classic (2X)
28595,87805,10.0,Classic (2X),Classic (2X)
28596,85105,5.0,Classic (2X)|NON AC Saver,Classic (2X)|
28597,81980,10.0,Classic (2X)|Deluxe (3X),Classic (2X)|Deluxe (3X)
28598,14513,10.0,Classic (2X)|Suite (4X)|Deluxe (3X),Classic (2X)|Suite (4X)|Deluxe (3X)
28599,55624,10.0,Classic (2X)|Deluxe (3X),Classic (2X)|Deluxe (3X)
28600,77657,10.0,Classic (2X)|Saver Double (X)|Deluxe (3X),Classic (2X)|Saver Double (X)|Deluxe (3X)
28601,99024,10.0,Classic (2X),Classic (2X)
28602,36766,10.0,Classic (2X)|Classic (2X)|Suite (4X),Classic (2X)|Classic (2X)|Suite (4X)
28603,82678,5.0,Classic (2X)|SPOT ON NON-AC,Classic (2X)|
28604,93652,10.0,Classic (2X),Classic (2X)
28605,95750,10.0,Classic (2X),Classic (2X)
28606,94825,10.0,Classic (2X)|Saver Double (X)|Deluxe (3X),Classic (2X)|Saver Double (X)|Deluxe (3X)
28607,87335,10.0,SPOT ON SAVER|SPOT ON Double|SPOT ON Double,SPOT ON SAVER|SPOT ON Double|SPOT ON Double
28608,102939,10.0,Quadruple Room|Standard Room Twin|Triple Room|Family Room,Quadruple Room|Standard Room Twin|Triple Room|Family Room
28609,41609,10.0,Classic (2X),Classic (2X)
