,hotel_id,no_of_comments
1424,62587,58
1425,89793,0
1426,101313,0
1427,36897,3
1428,514,24
1429,102635,0
1430,90009,1
1431,96433,0
1432,87745,0
1433,82514,6
1434,88485,2
1435,93255,0
1436,86693,1
1437,53185,0
1438,56591,17
1439,62477,2
1440,81310,44
1441,92830,1
1442,94588,0
1443,101451,0
1444,95778,0
1445,85318,0
1446,91444,6
1447,14009,82
1448,37159,99
1449,93567,0
1450,83836,59
1451,96849,0
1452,48108,1
1453,104502,0
1454,58422,28
1455,82199,0
1456,47793,0
1457,102854,0
1458,101178,0
1459,82795,9
1460,94166,0
1461,56793,38
1462,54408,5
1463,88330,8
1464,89382,0
1465,89368,0
1466,50614,41
1467,83217,1
1468,77401,0
1469,60337,44
1470,8159,82
1471,96087,0
1472,100320,0
1473,92352,0
1474,17131,0
1475,37280,46
1476,17553,62
1477,96380,0
1478,90257,0
1479,54397,54
1480,46904,13
1481,15190,4
1482,91303,3
1483,102075,0
1484,51216,3
1485,55556,62
1486,85321,6
1487,84570,0
1488,15345,0
1489,54543,54
1490,84432,3
1491,74546,58
1492,92695,2
1493,8496,30
1494,92228,0
1495,60641,20
1496,88443,1
1497,16104,10
1498,44331,10
1499,59755,7
1500,60340,39
1501,19226,5
1502,99732,0
1503,10710,69
1504,58098,0
1505,87866,0
1506,9531,6
1507,96695,0
1508,49118,1
1509,46741,94
1510,101462,0
1511,97460,0
1512,75432,15
1513,96979,0
1514,103121,0
1515,93241,2
1516,61563,66
1517,58728,65
1518,88479,21
1519,101926,1
1520,102801,0
1521,99074,0
1522,82477,99
1523,99527,0
1524,86384,6
1525,89050,0
1526,18450,48
1527,49135,47
1528,97451,1
1529,15173,80
1530,102964,0
1531,83231,54
1532,50164,86
1533,94740,0
1534,54827,77
1535,16996,0
1536,12324,35
1537,101330,0
1538,76180,12
1539,82207,4
1540,35986,95
1541,101001,1
1542,104204,0
1543,60942,44
1544,9517,76
1545,94563,0
1546,97288,0
1547,49472,78
1548,44674,81
1549,75786,4
1550,53491,26
1551,76388,2
1552,49748,72
1553,53767,22
1554,92490,0
1555,103130,0
1556,88932,10
1557,90718,3
1558,89545,4
1559,86654,3
1560,97153,0
1561,100739,0
1562,98520,0
1563,76357,6
1564,42098,18
1565,97004,0
1566,15792,0
1567,16959,56
1568,14602,3
1569,95806,0
1570,48254,10
1571,104488,0
1572,81611,15
1573,94144,2
1574,16788,33
1575,44221,0
1576,38987,31
1577,77277,16
1578,103743,0
1579,41046,4
1580,85208,4
1581,89489,1
1582,82646,6
1583,87579,0
1584,52555,31
1585,92681,0
1586,94014,0
1587,92957,0
1588,100767,0
1589,104322,0
1590,76236,20
1591,39572,18
1592,44061,69
1593,79386,97
1594,87723,7
1595,85782,9
1596,94006,1
1597,96554,3
1598,101937,0
1599,95516,0
1600,82345,4
1601,88358,0
1602,82337,8
1603,102216,0
1604,99088,0
1605,82196,31
1606,95927,1
1607,59929,11
1608,99690,0
1609,79651,1
1610,57797,78
1611,88493,6
1612,87571,0
1613,100877,0
1614,88741,3
1615,83830,0
1616,99853,0
1617,87118,5
1618,100835,0
1619,91618,1
1620,20129,92
1621,74256,0
1622,77235,66
1623,79932,94
1624,95502,0
1625,104637,0
1626,78461,86
1627,55426,5
1628,81279,10
1629,95069,0
1630,88015,1
1631,95229,0
1632,46893,7
1633,83678,14
1634,56875,16
1635,87703,17
1636,61549,0
1637,79212,27
1638,17111,33
1639,94158,1
1640,101628,0
1641,90701,0
1642,61977,4
1643,39887,6
1644,96242,0
1645,38211,23
1646,56450,7
1647,85917,24
1648,100157,0
1649,44789,28
1650,46035,4
1651,99229,0
1652,94152,0
1653,103031,0
1654,97415,0
1655,83971,2
1656,45585,32
1657,62725,38
1658,76343,10
1659,59628,10
1660,46584,66
1661,45079,36
1662,88223,9
1663,91005,0
1664,44792,73
1665,8308,59
1666,37024,89
1667,84390,62
1668,98914,0
1669,74442,3
1670,103729,0
1671,40309,55
1672,87728,0
1673,98185,0
1674,89236,4
1675,80219,12
1676,47360,52
1677,85172,0
1678,75910,62
1679,77370,56
1680,8738,69
1681,16650,0
1682,91264,27
1683,90687,1
1684,96388,0
1685,79358,0
1686,100891,0
1687,57519,0
1688,95035,0
1689,91016,15
1690,77094,11
1691,59741,0
1692,99406,0
1693,77530,63
1694,76470,42
1695,93089,0
1696,81406,32
1697,90991,3
1698,82972,16
1699,96515,0
1700,54819,7
1701,99555,0
1702,104460,0
1703,50476,52
1704,73235,18
1705,19215,55
1706,91508,0
1707,98216,0
1708,16979,74
1709,7526,28
1710,45284,6
1711,90586,27
1712,62750,36
1713,100615,0
1714,82823,20
1715,46319,72
1716,78762,35
1717,97713,0
1718,102691,0
1719,82657,0
1720,37789,40
1721,50305,19
1722,15795,53
1723,19336,2
1724,39600,18
1725,83054,15
1726,50170,61
1727,97578,0
1728,90400,0
1729,41099,5
1730,81912,15
1731,95930,0
1732,9087,6
1733,77862,83
1734,93843,0
1735,38945,96
1736,76371,63
1737,82452,31
1738,94428,0
1739,79060,0
1740,98807,0
1741,93570,0
1742,93227,0
1743,51095,60
1744,42736,66
1745,46173,0
1746,95215,0
1747,59142,35
1748,101479,0
1749,53621,12
1750,80984,72
1751,89326,0
1752,94023,0
1753,48505,0
1754,82815,98
1755,56765,8
1756,90715,0
1757,88128,3
1758,90417,0
1759,62306,54
1760,98028,1
1761,95679,0
1762,48803,41
1763,103003,0
1764,83861,42
1765,42598,61
1766,79673,44
1767,84587,34
1768,96444,0
1769,101181,0
1770,60655,33
1771,91947,1
1772,95817,0
1773,45259,61
1774,80520,4
1775,85942,4
1776,61811,81
1777,53770,28
1778,103152,0
1779,101518,0
1780,57814,38
1781,97465,0
1782,95800,0
1783,89078,1
1784,42722,70
1785,88620,13
1786,38377,10
1787,82472,1
1788,57530,4
1789,82494,13
1790,60829,3
1791,80399,1
1792,4691,0
1793,91151,0
1794,53781,0
1795,87149,8
1796,46460,0
1797,14467,0
1798,40160,56
1799,89208,0
1800,100874,0
1801,82933,0
1802,100998,0
1803,39544,39
1804,62905,14
1805,90721,0
1806,87242,0
1807,96965,2
1808,59904,68
1809,9326,56
1810,88904,42
1811,47183,2
1812,85934,26
1813,5636,75
1814,50004,78
1815,6522,66
1816,14577,36
1817,99707,0
1818,97128,0
1819,75750,17
1820,44016,23
1821,47385,11
1822,81296,0
1823,44235,74
1824,55727,20
1825,60492,57
1826,89492,0
1827,104803,0
1828,98773,0
1829,91334,8
1830,93837,0
1831,73483,21
1832,93691,0
1833,74996,9
1834,59749,42
1835,80056,50
1836,89829,0
1837,62753,19
1838,86204,14
1839,11607,23
1840,104736,4
1841,35376,90
1842,13837,42
1843,82905,8
1844,83422,16
1845,50493,39
1846,102677,0
1847,81299,27
1848,50507,28
1849,97575,0
1850,58270,54
1851,75170,2
1852,60812,25
1853,90130,10
1854,54096,2
1855,76799,0
1856,90448,2
1857,35086,5
1858,42719,4
1859,80815,6
1860,54830,21
1861,81307,0
1862,39263,31
1863,76619,4
1864,17252,16
1865,40717,0
